"","daf2chd7_rep1","daf2chd7_rep2","daf2chd7_rep3","daf2chd7_rep4","daf2chd7_rep5","daf2_rep1","daf2_rep2","daf2_rep3","daf2_rep4","daf2_rep5"
"Y52E8A.2",25,15,10,17,20,70,89,159,33,32
"Y52E8A.3",42,51,54,32,83,50,62,50,51,18
"Y52E8A.6",1,0,1,1,2,1,1,1,0,1
"Y53C10A.10",3,0,1,0,3,1,0,1,1,1
"Y53C10A.5",284,263,398,231,352,335,227,241,263,172
"Y53C10A.6",105,90,86,103,130,147,99,125,125,69
"Y53C12A.10",240,246,222,214,305,292,257,286,350,192
"Y53C12A.11",22,12,13,23,8,26,24,30,22,11
"Y53C12A.3",175,139,173,150,245,227,195,252,344,142
"Y53C12A.6",1,1,1,5,5,5,4,5,5,1
"Y53C12A.7",0,0,0,0,1,0,0,1,0,1
"Y53C12A.8",1,1,1,0,10,0,1,3,0,1
"Y53C12B.1",299,325,421,284,516,457,315,414,634,271
"Y53C12B.2",9970,9274,7728,6853,12789,7471,6559,5627,8353,4856
"Y53C12B.7",616,494,292,284,496,663,444,416,482,240
"Y53F4B.1",59,71,82,54,108,50,38,55,93,40
"Y53F4B.10",0,1,0,0,1,1,0,0,2,0
"Y53F4B.11",1,1,0,0,1,2,1,1,0,0
"Y53F4B.12",224,226,296,185,399,186,112,186,324,205
"Y53F4B.13",550,503,608,486,854,525,481,638,841,422
"Y53F4B.14",344,335,277,255,468,266,269,271,335,195
"Y53F4B.16",8,5,1,3,4,0,3,2,1,1
"Y53F4B.17",4,3,3,0,8,5,1,1,3,2
"Y53F4B.18",830,874,846,551,639,371,423,429,498,211
"Y53F4B.19",14,13,15,1,9,4,3,4,8,4
"Y53F4B.20",0,1,0,0,2,0,1,1,0,1
"Y53F4B.21",341,325,342,257,449,258,279,343,372,176
"Y53F4B.23",16,14,7,16,27,6,1,2,2,2
"Y53F4B.24",1,1,0,0,0,1,0,2,0,0
"Y53F4B.25",2,2,0,2,8,3,5,6,2,1
"Y53F4B.27",6,8,2,1,3,1,1,2,4,0
"Y53F4B.3",66,43,38,70,96,94,102,136,60,40
"Y53F4B.36",6,5,4,3,7,4,3,3,4,3
"Y53F4B.39",230,220,296,264,430,240,249,242,353,190
"Y53F4B.43",1,0,0,0,3,1,1,4,1,1
"Y53F4B.5",0,2,1,0,0,1,0,0,1,1
"Y53F4B.51",61,70,62,67,159,65,89,91,163,80
"Y53F4B.7",1,0,1,2,3,0,0,1,0,1
"Y53F4B.9",81,81,88,107,160,185,164,279,137,104
"Y53G8AL.1",58,41,59,35,78,35,21,29,62,31
"Y53G8AL.2",1765,1638,1414,1182,1778,1450,1119,1022,1266,730
"Y53G8AL.3",1,1,1,0,0,1,0,0,0,0
"Y53G8AL.4",1,1,0,2,1,4,2,3,1,0
"Y53G8AM.4",1,1,5,2,3,3,0,1,0,2
"Y53G8AM.5",1,0,0,0,0,1,0,1,0,0
"Y53G8AM.6",0,1,0,3,7,2,0,1,1,0
"Y53G8AM.7",20,17,20,21,30,11,7,10,24,12
"Y53G8AM.8",298,274,324,258,469,517,375,334,534,310
"Y53G8AR.1",0,0,0,1,0,0,0,2,0,0
"Y53G8AR.5",186,212,142,138,253,178,164,168,188,102
"Y53G8AR.6",267,312,245,205,351,338,351,308,284,190
"Y53G8AR.7",211,203,91,104,465,605,252,272,278,111
"Y53G8AR.8",239,272,272,205,399,258,238,251,390,182
"Y53G8AR.9",921,949,980,772,1187,1206,1115,1103,1382,652
"Y53G8B.1",260,288,195,157,199,208,122,116,97,75
"Y53G8B.2",1151,1177,2038,1233,855,781,862,853,2760,1550
"Y53H1A.2",200,204,200,179,295,255,232,218,257,157
